,Symbol,Name,Industry,IndustryCode
0,AAPL,Apple Inc,전화 및 소형 장치,57106020
1,MSFT,Microsoft Corp,소프트웨어,57201020
2,AMZN,Amazon.com Inc,백화점,53402010
3,NVDA,NVIDIA Corp,반도체,57101010
4,GOOGL,Alphabet Inc Class A,온라인 서비스,57201030
5,META,Meta Platforms Inc,온라인 서비스,57201030
6,TSLA,Tesla Inc,자동차 및 트럭 제조,53101010
7,GOOG,Alphabet Inc Class C,온라인 서비스,57201030
8,AVGO,Broadcom Inc,반도체,57101010
9,ADBE,Adobe Inc,소프트웨어,57201020
10,COST,Costco Wholesale Corp,할인점,53402020
11,ASML,ASML Holding NV ADR,반도체 장비 및 테스트,57101020
12,CSCO,Cisco Systems Inc,통신 및 네트워킹,57102010
13,PEP,PepsiCo Inc,무알콜 음료,54101030
14,AZN,AstraZeneca PLC ADR,제약,56201040
15,CMCSA,Comcast Corp,무선 통신 서비스,57401020
16,AMD,Advanced Micro Devices Inc,반도체,57101010
17,TMUS,T-Mobile US Inc,무선 통신 서비스,57401020
18,NFLX,Netflix Inc,온라인 서비스,57201030
19,INTC,Intel Corp,반도체,57101010
20,AMGN,Amgen Inc,제약,56201040
21,INTU,Intuit Inc,핀테크,57301010
22,PDD,PDD Holdings Inc ADR,온라인 서비스,57201030
23,TXN,Texas Instruments Inc,반도체,57101010
24,SNY,Sanofi SA ADR,제약,56201040
25,QCOM,Qualcomm Inc,반도체,57101010
26,HON,Honeywell International Inc,소비재 대기업,54401010
27,AMAT,Applied Materials Inc,반도체 장비 및 테스트,57101020
28,BKNG,Booking Holdings Inc,여가 및 오락시설,53301040
29,SBUX,Starbucks Corp,레스토랑 및 바,53301020
30,ADP,Automatic Data Processing Inc,IT 서비스 및 컨설팅,57201010
31,GILD,Gilead Sciences Inc,제약,56201040
32,VRTX,Vertex Pharmaceuticals Inc,생명 공학 및 의학 연구,56202010
33,ISRG,Intuitive Surgical Inc,첨단 의료 장비 및 기술,56101010
34,REGN,Regeneron Pharmaceuticals Inc,생명 공학 및 의학 연구,56202010
35,LRCX,Lam Research Corp,반도체 장비 및 테스트,57101020
36,ADI,Analog Devices Inc,반도체,57101010
37,MDLZ,Mondelez International Inc,식품 가공,54102020
38,ABNB,Airbnb Inc,온라인 서비스,57201030
39,PANW,Palo Alto Networks Inc,소프트웨어,57201020
40,CME,CME Group Inc,"금융, 상품 시장 운영 및 서비스 제공",55102050
41,MU,Micron Technology Inc,반도체,57101010
42,SNPS,Synopsys Inc,소프트웨어,57201020
43,ATVI,Activision Blizzard Inc,온라인 서비스,57201030
44,EQIX,Equinix Inc,특수 REITs,60102040
45,NTES,NetEase Inc ADR,온라인 서비스,57201030
