Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABAT,American Battery Technology Company Common Stock,$7.54,0.40,5.602%,348757829.00,United States,,233756,Basic Materials,Metal Mining
AMLI,American Lithium Corp. Common Stock,$1.24,-0.02,-1.587%,266172760.00,Canada,,203900,Basic Materials,Metal Mining
AMWD,American Woodmark Corporation Common Stock,$75.86,-0.05,-0.066%,1245668081.00,United States,1986,202858,Basic Materials,Forest Products
ATCOL,Atlas Corp. 7.125% Notes due 2027,$23.34,-0.105,-0.448%,0.00,United Kingdom,,3415,Basic Materials,Precious Metals
CHNR,China Natural Resources Inc. Common Stock,$1.70,0.08,4.938%,13923000.00,Hong Kong,,316,Basic Materials,Metal Mining
GSM,Ferroglobe PLC Ordinary Shares,$4.87,-0.11,-2.209%,912784100.00,United Kingdom,,528782,Basic Materials,Metal Mining
HYMC,Hycroft Mining Holding Corporation Class A Common Stock,$0.2928,0.0148,5.324%,59132137.00,United States,2018,1499741,Basic Materials,Precious Metals
HYMCL,Hycroft Mining Holding Corporation Warrants,$0.018,-0.0019,-9.548%,3635172.00,United States,,43455,Basic Materials,Precious Metals
HYMCW,Hycroft Mining Holding Corporation  Warrant,$0.0188,0.0057,43.511%,3796736.00,United States,2018,140727,Basic Materials,Precious Metals
MERC,Mercer International Inc. Common Stock,$8.83,0.47,5.622%,587414567.00,Canada,,503890,Basic Materials,Paper
NB,NioCorp Developments Ltd. Common Stock,$3.56,0.03,0.85%,108210187.00,United States,,63158,Basic Materials,Metal Mining
NIOBW,NioCorp Developments Ltd. Warrant,$0.65,-0.02,-2.985%,19757478.00,United States,,4359,Basic Materials,Metal Mining
PPTA,Perpetua Resources Corp. Common Shares,$3.75,0.15,4.167%,236870126.00,Canada,,75358,Basic Materials,Precious Metals
SGML,Sigma Lithium Corporation Common Shares,$27.10,0.99,3.792%,2964479135.00,Canada,,1604172,Basic Materials,Metal Mining
STKL,SunOpta Inc. Common Stock,$3.55,0.69,24.126%,410408169.00,Canada,,7583272,Basic Materials,Precious Metals
UFPI,UFP Industries Inc. Common Stock,$97.80,-0.39,-0.397%,6050397587.00,United States,1993,363095,Basic Materials,Forest Products
USAU,U.S. Gold Corp. Common Stock,$3.40,0.37,12.211%,31605846.00,United States,,86991,Basic Materials,Metal Mining
USGO,U.S. GoldMining Inc. Common stock,$7.798,-0.052,-0.662%,96685133.00,United States,2023,8650,Basic Materials,Precious Metals
USGOW,U.S. GoldMining Inc. Warrant,$1.97,-0.145,-6.856%,24425457.00,United States,2023,1842,Basic Materials,Precious Metals
VOXR,Vox Royalty Corp. Common Stock,$2.02,0.00,0.00%,91156451.00,Canada,,41314,Basic Materials,Precious Metals
