Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AFRI,Forafric Global PLC Ordinary Shares,$10.92,0.25,2.343%,293529600.00,Gibraltar,,7086,Consumer Staples,Packaged Foods
AQB,AquaBounty Technologies Inc. Common Stock,$0.205,-0.025,-10.87%,14628441.00,United States,,1192555,Consumer Staples,Meat/Poultry/Fish
AVO,Mission Produce Inc. Common Stock,$9.03,0.22,2.497%,639252844.00,United States,2020,157682,Consumer Staples,Farming/Seeds/Milling
BOF,BranchOut Food Inc. Common Stock,$1.7985,-0.2015,-10.075%,5398933.00,United States,2023,31909,Consumer Staples,Packaged Foods
BRFH,Barfresh Food Group Inc. Common Stock,$1.88,-0.09,-4.569%,24511342.00,United States,,698,Consumer Staples,Packaged Foods
BRID,Bridgford Foods Corporation Common Stock,$10.965,-0.055,-0.499%,99527463.00,United States,,727,Consumer Staples,Specialty Foods
BYND,Beyond Meat Inc. Common Stock,$8.64,0.32,3.846%,556293234.00,United States,2019,1658692,Consumer Staples,Packaged Foods
CALM,Cal-Maine Foods Inc. Common Stock,$49.56,0.57,1.164%,2427578300.00,United States,1996,1454290,Consumer Staples,Farming/Seeds/Milling
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$58.00,0.25,0.433%,26613079078.00,United Kingdom,,1155347,Consumer Staples,Beverages (Production/Distribution)
CELH,Celsius Holdings Inc. Common Stock,$163.67,4.91,3.093%,12584787123.00,United States,,778039,Consumer Staples,Beverages (Production/Distribution)
CHSN,Chanson International Holding Class A Ordinary Shares,$3.07,0.12,4.068%,38037300.00,China,2023,8200,Consumer Staples,Packaged Foods
CJJD,China Jo-Jo Drugstores Inc. (Cayman Islands) Ordinary Shares,$0.2489,0.0119,5.021%,10392021.00,China,,129248,Consumer Staples,Retail-Drug Stores and Proprietary Stores
COCO,The Vita Coco Company Inc. Common Stock,$26.28,0.86,3.383%,1483129933.00,United States,2021,644673,Consumer Staples,Beverages (Production/Distribution)
