Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACDC,ProFrac Holding Corp. Class A Common Stock,$9.56,-0.03,-0.313%,1523750647.00,United States,2022,967418,Energy,Oilfield Services/Equipment
ACDCW,ProFrac Holding Corp. Warrant,$0.005,-0.0021,-29.577%,796941.00,United States,,1298,Energy,Oilfield Services/Equipment
APA,APA Corporation Common Stock,$41.25,2.03,5.176%,12674697915.00,United States,,5200481,Energy,Oil & Gas Production
AREC,American Resources Corporation Class A Common Stock,$1.62,-0.09,-5.263%,126705795.00,United States,,81608,Energy,Coal Mining
ARKO,ARKO Corp. Common Stock,$7.61,-0.01,-0.131%,902978667.00,United States,,187744,Energy,Oil Refining/Marketing
ARKOW,ARKO Corp. Warrant,$1.1299,-0.0101,-0.886%,134070380.00,United States,,7821,Energy,Oil Refining/Marketing
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,$23.10,0.15,0.654%,2936597595.00,United States,1999,393972,Energy,Coal Mining
BANL,CBL International Limited Ordinary Shares,$1.12,-0.06,-5.085%,28082600.00,Malaysia,2023,5262,Energy,Oil Refining/Marketing
BLDP,Ballard Power Systems Inc. Common Shares,$3.64,-0.04,-1.087%,1087276634.00,Canada,,1866551,Energy,Industrial Machinery/Components
BNMV,BitNile Metaverse Inc. Common Stock,$0.72,0.00,0.00%,1698700.00,United States,,6904,Energy,Oil & Gas Production
BROG,Brooge Energy Limited Ordinary Shares,$5.04,0.01,0.199%,552323016.00,United Kingdom,2018,6718,Energy,Integrated oil Companies
BROGW,Brooge Holdings Limited Warrant expiring 12/20/2024,$0.0199,0.0048,31.788%,2180796.00,United Kingdom,2018,100,Energy,Integrated oil Companies
BRY,Berry Corporation (bry) Common Stock,$8.40,0.19,2.314%,635554634.00,United States,2018,638724,Energy,Oil & Gas Production
CCLP,CSI Compressco LP Common Units,$1.35,0.00,0.00%,191693288.00,United States,2011,30542,Energy,Oilfield Services/Equipment
CHK,Chesapeake Energy Corporation Common Stock,$88.92,0.00,0.00%,11903638505.00,United States,,1280649,Energy,Oil & Gas Production
CHKEL,Chesapeake Energy Corporation Class C Warrants,$71.91,0.00,0.00%,9517750378.00,United States,,14,Energy,Oil & Gas Production
CHKEW,Chesapeake Energy Corporation Class A Warrants,$78.685,0.00,0.00%,10414465144.00,United States,,2,Energy,Oil & Gas Production
CHKEZ,Chesapeake Energy Corporation Class B Warrants,$76.42,0.00,0.00%,10114677846.00,United States,,2,Energy,Oil & Gas Production
CHRD,Chord Energy Corporation Common Stock,$168.62,5.49,3.365%,7002913042.00,United States,,555113,Energy,Oil & Gas Production
CLMT,Calumet Specialty Products Partners L.P. Common Units,$17.09,-0.41,-2.343%,1366486698.00,United States,2006,102338,Energy,Integrated oil Companies
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,$29.03,0.075,0.259%,1123903504.00,United States,,105985,Energy,Oil & Gas Production
DWSN,Dawson Geophysical Company Common Stock,$2.35,0.015,0.642%,58751325.00,United States,,501,Energy,Oil & Gas Production
ENCP,Energem Corp Class A Ordinary Shares,$11.12,0.00,0.00%,37842194.00,Malaysia,2022,5,Energy,Industrial Machinery/Components
ENCPW,Energem Corp Warrant,$0.0425,0.00,0.00%,144631.00,Malaysia,2022,500,Energy,Industrial Machinery/Components
EPSN,Epsilon Energy Ltd. Common Share,$5.30,0.03,0.569%,117473668.00,United States,,22383,Energy,Oil & Gas Production
FANG,Diamondback Energy Inc. Common Stock,$166.57,4.21,2.593%,29785784553.00,United States,2012,2908263,Energy,Oil & Gas Production
FCEL,FuelCell Energy Inc. Common Stock,$1.29,0.00,0.00%,581307970.00,United States,,10188731,Energy,Industrial Machinery/Components
HNRG,Hallador Energy Company Common Stock,$14.40,-0.31,-2.107%,477250603.00,United States,,169192,Energy,Coal Mining
HOLI,Hollysys Automation Technologies Ltd. Common Shares (British Virgin Islands),$20.41,-0.34,-1.639%,1265867591.00,China,,136573,Energy,Industrial Machinery/Components
HPK,HighPeak Energy Inc. Common Stock,$17.39,1.04,6.361%,2229761851.00,United States,,376844,Energy,Oil & Gas Production
HPKEW,HighPeak Energy Inc. Warrant,$8.90,-0.2199,-2.411%,1141166215.00,United States,,4062,Energy,Oil & Gas Production
KGEI,Kolibri Global Energy Inc. Common stock,$4.44,0.08,1.835%,158156889.00,United States,,12073,Energy,Oil & Gas Production
KLXE,KLX Energy Services Holdings Inc. Common Stock,$10.725,0.695,6.929%,175969590.00,United States,,243817,Energy,Oilfield Services/Equipment
LFUS,Littelfuse Inc. Common Stock,$231.79,-3.40,-1.446%,5769602871.00,United States,,69621,Energy,Electrical Products
MARPS,Marine Petroleum Trust Units of Beneficial Interest,$5.40,0.1162,2.199%,10800000.00,United States,,20324,Energy,Oil & Gas Production
METC,Ramaco Resources Inc. Class A Common Stock,$9.92,0.02,0.202%,522645070.00,United States,2017,244926,Energy,Coal Mining
METCB,Ramaco Resources Inc. Class B Common Stock,$11.99,0.18,1.524%,631705080.00,United States,,8885,Energy,Coal Mining
METCL,Ramaco Resources Inc. 9.00% Senior Notes due 2026,$25.25,-0.02,-0.079%,1330321374.00,United States,,1813,Energy,Coal Mining
MGEE,MGE Energy Inc,$71.49,-0.07,-0.098%,2585319321.00,United States,,68849,Energy,Electric Utilities: Central
MMLP,Martin Midstream Partners L.P. Limited Partnership,$2.40,0.06,2.564%,93395534.00,United States,2002,31091,Energy,Oil Refining/Marketing
NCSM,NCS Multistage Holdings Inc. Common Stock,$15.06,-0.53,-3.40%,36731250.00,United States,2017,1242,Energy,Oilfield Services/Equipment
