Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEI,Alset Inc. Common Stock (TX),$1.2599,0.0259,2.099%,11635326.00,United States,2020,7085,Real Estate,Building operators
AFCG,AFC Gamma Inc. Common Stock,$11.44,-0.14,-1.209%,234036054.00,United States,2021,84529,Real Estate,Real Estate Investment Trusts
AGNC,AGNC Investment Corp. Common Stock,$8.78,-0.15,-1.68%,5321359309.00,United States,2008,16203434,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,$21.28,-0.02,-0.094%,12897326434.00,United States,,12637,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$23.1001,-0.0808,-0.349%,14000447855.00,United States,,6120,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$24.87,-0.24,-0.956%,15073144192.00,United States,,35077,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,$22.81,-0.10,-0.436%,13824624810.00,United States,,8567,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$21.37,0.09,0.423%,12951873397.00,United States,,35787,Real Estate,Real Estate Investment Trusts
CMCT,Creative Media & Community Trust Corporation Common stock,$4.07,-0.03,-0.732%,92742036.00,United States,,22001,Real Estate,Real Estate Investment Trusts
DHC,Diversified Healthcare Trust Common Shares of Beneficial Interest,$1.88,-0.11,-5.528%,450799114.00,United States,,1029411,Real Estate,Real Estate Investment Trusts
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,$13.222,-0.278,-2.059%,3170460580.00,United States,,4465,Real Estate,Real Estate Investment Trusts
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,$14.21,-0.50,-3.399%,3407369902.00,United States,,8376,Real Estate,Real Estate Investment Trusts
EQIX,Equinix Inc. Common Stock REIT,$742.64,-0.69,-0.093%,69485057387.00,United States,2000,263759,Real Estate,Real Estate Investment Trusts
GIPR,Generation Income Properties Inc. Common Stock,$3.9309,-0.039,-0.982%,10289477.00,United States,,5303,Real Estate,Real Estate Investment Trusts
GLPI,Gaming and Leisure Properties Inc. Common Stock,$46.18,0.02,0.043%,12128723420.00,United States,,752351,Real Estate,Real Estate Investment Trusts
GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,$11.91,-0.06,-0.501%,475423320.00,United States,2003,115329,Real Estate,Real Estate
GOODN,Gladstone Commercial Corporation 6.625% Series E Cumulative Redeemable Preferred Stock,$20.3177,0.1677,0.832%,811041847.00,United States,,1076,Real Estate,Real Estate Investment Trusts
GOODO,Gladstone Commercial Corporation 6.00% Series G Cumulative Redeemable Preferred Stock par value $0.001 per share,$17.465,-0.285,-1.606%,697167783.00,United States,,6143,Real Estate,Real Estate
GYRO,Gyrodyne LLC Common Stock,$10.00,0.00,0.00%,14826800.00,United States,,22,Real Estate,Real Estate Investment Trusts
HCDIW,Harbor Custom Development Inc. Warrant,$0.0052,0.00,0.00%,12112.00,United States,,91949,Real Estate,Building operators
HST,Host Hotels & Resorts Inc. Common Stock,$15.85,-0.21,-1.308%,11278937221.00,United States,,5167216,Real Estate,Real Estate Investment Trusts
HTIA,Healthcare Trust Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,$16.60,-0.15,-0.896%,1852504838.00,United States,,15961,Real Estate,Real Estate Investment Trusts
