Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEP,American Electric Power Company Inc. Common Stock,$74.47,0.99,1.347%,38365159997.00,United States,,2809409,Utilities,Electric Utilities: Central
AKTS,Akoustis Technologies Inc. Common Stock,$0.7499,-0.0244,-3.151%,54256635.00,United States,,314458,Utilities,Telecommunications Equipment
ARTNA,Artesian Resources Corporation Class A Common Stock,$40.86,-0.59,-1.423%,419840096.00,United States,,17504,Utilities,Water Supply
AUDC,AudioCodes Ltd. Common Stock,$8.88,-0.28,-3.057%,281407200.00,Israel,1999,136953,Utilities,Telecommunications Equipment
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,$17.74,-0.41,-2.259%,2058904400.00,United Kingdom,2014,554513,Utilities,Electric Utilities: Central
CDZI,CADIZ Inc. Common Stock,$2.84,0.00,0.00%,189131521.00,United States,,127014,Utilities,Water Supply
CDZIP,Cadiz Inc. Depositary Shares,$15.31,0.01,0.065%,1019578728.00,United States,,1123,Utilities,Water Supply
CEG,Constellation Energy Corporation Common Stock ,$113.69,-2.03,-1.754%,36561757190.00,United States,,1699401,Utilities,Electric Utilities: Central
CLFD,Clearfield Inc. Common Stock,$24.56,-1.05,-4.10%,374830029.00,United States,,186040,Utilities,Telecommunications Equipment
CLIN,Clean Earth Acquisitions Corp. Class A Common Stock,$10.61,0.02,0.189%,0.00,United States,2022,256,Utilities,Power Generation
CLINR,Clean Earth Acquisitions Corp. Right,$0.14,0.00,0.00%,0.00,United States,2022,14922,Utilities,Power Generation
CLINU,Clean Earth Acquisitions Corp. Unit,$10.77,0.00,0.00%,0.00,United States,2022,35,Utilities,Power Generation
CLINW,Clean Earth Acquisitions Corp. Warrant,$0.0512,0.005,10.823%,0.00,United States,2022,1300,Utilities,Power Generation
CLNE,Clean Energy Fuels Corp. Common Stock,$3.85,-0.02,-0.517%,858422253.00,United States,2007,1759326,Utilities,Natural Gas Distribution
CLRO,ClearOne Inc. (DE) Common Stock,$0.723,-0.0194,-2.613%,17322342.00,United States,,20506,Utilities,Telecommunications Equipment
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,$30.00,-0.69,-2.248%,472284600.00,Cayman Islands,,141457,Utilities,Water Supply
CWST,Casella Waste Systems Inc. Class A Common Stock,$77.24,0.05,0.065%,4477004113.00,United States,1997,271424,Utilities,Environmental Services
DZSI,DZS Inc. Common Stock,$1.64,-0.03,-1.796%,51102036.00,United States,,162381,Utilities,Telecommunications Equipment
EVRG,Evergy Inc. Common Stock,$49.95,0.71,1.442%,11473622592.00,United States,,1912893,Utilities,Power Generation
EXC,Exelon Corporation Common Stock,$39.95,0.12,0.301%,39759006840.00,United States,,6173762,Utilities,Power Generation
FKWL,Franklin Wireless Corp. Common Stock,$2.94,0.03,1.031%,34645783.00,United States,,5525,Utilities,Telecommunications Equipment
